,Country,Assitance 2011,Assitance 2012,Assitance 2013,Assitance 2014,Assitance 2015,Assitance 2016,CO2 2011,CO2  2012,CO2  2013,CO2  2014,CO2  2015,CO2 2016,Employment 2011,Employment 2012,Employment 2013,Employment 2014,Employment 2015,Employment 2016,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
53,"Egypt, Arab Rep.",423730011,1813430054,5512509766,3537600098,2524530029,2437350098,217412.76,220108.01,214402.16,227852.71,224581.75,238560.35,23.56999969,24.86000061,24.11000061,24.39999962,25.07999992,25.5,9686.05,11092.74,11221.38,10895.94,11512.4,11192.37
54,El Salvador,297390014.7,219910003.7,169139999.4,98069999.69,89699996.95,128970001.2,6648.27,6662.94,6230.23,6285.24,6849.96,7168.99,21.27000046,20.97999954,20.36000061,20.88999939,22.18000031,21.10000038,6465.81,6541.21,6877.16,7233.19,7597.69,8038.63
55,Equatorial Guinea,24549999.24,14449999.81,4630000.11,519999.98,7489999.77,6920000.08,9398.52,6985.64,7700.7,7308.33,6028.55,5654.51,26.14999962,25.45000076,24.72999954,23.87000084,22.79000092,21.81999969,34280.25,37570.64,34766.01,33696.13,24042.5,20458.81
56,Eritrea,133410003.7,135970001.2,81309997.56,84190002.44,93919998.17,66819999.69,579.39,645.39,652.73,711.4,693.06,711.4,7.78000021,7.699999809,7.619999886,7.579999924,7.489999771,7.429999828,1625.51,0,0,0,0,0
57,Estonia,0,0,0,0,0,0,18096.65,17146.89,19332.42,18173.65,16362.15,16589.51,32.43000031,31.10000038,30.27000046,30.14999962,30.65999985,29.71999931,24777.47,26190.55,27642.58,29135.71,29389.26,31577.07
58,Eswatini,124089996.3,89620002.75,117790000.9,86370002.75,92629997.25,147639999.4,1074.43,1235.78,1525.47,902.08,982.76,1155.11,25.81999969,25.59000015,25.29000092,25.10000038,24.87000084,24.53000069,8057.54,8266.68,8708.8,8796.98,8811.69,8705.91
59,Ethiopia,3495889893,3243290039,3885540039,3583959961,3238889893,4084370117,7135.98,8518.44,10410.61,12434.8,13718.25,14869.69,8.090000153,8.25,8.409999847,8.590000153,8.770000458,8.960000038,1134.78,1213.6,1283.57,1513.7,1657.34,1878.81
60,Fiji,75389999.39,105370002.8,91220001.22,94239997.86,102480003.4,117419998.2,1089.1,1059.76,1338.46,1646.48,2156.2,2046.19,16.13999939,15.46000004,15.10000038,14.84000015,14.55000019,14.17000008,8263.06,8839.47,9536.26,11346.87,12412.42,12632.01
61,Finland,0,0,0,0,0,0,56662.48,49013.12,47164.95,47230.96,42606.87,45870.5,23,22.79000092,22.85000038,21.89999962,21.70000076,22.15999985,40916.84,40873.1,41493.14,41757.4,42497.7,44934.45
62,France,0,0,0,0,0,0,331804.83,333227.62,334096.7,303275.57,325601.18,325601.18,22.17000008,21.76000023,21.30999947,20.53000069,20.31999969,20.22999954,37440.64,37679.12,39523.85,40144.03,40850,42924.61
